"participant","target_duration","distractors_duration_2","distractors_duration_1","response","response_RT","condition","trial"
1,1,0.7,3,0,1.702063071,"distractors",1
1,1,0.3,0.7,1,0.884467494999967,"distractors",2
1,1,0.7,1.5,1,4.41839624199997,"distractors",3
1,1,1.5,0.3,1,1.03471777200002,"distractors",4
1,1,0.7,1.5,0,3.43495675600002,"distractors",5
1,1,0.3,0.7,1,1.16821336199996,"distractors",6
1,1,0.3,0.7,1,0.401720816999955,"distractors",7
1,1,0.3,3,1,0.568225110000071,"distractors",8
1,1,3,0.3,1,0.618444350000004,"distractors",9
1,1,0.7,3,0,0.618099489999963,"distractors",10
1,1,0.3,1.5,1,0.568090852999944,"distractors",11
1,1,0.3,3,1,3.73496398300006,"distractors",12
1,1,3,1.5,1,0.484486819999915,"distractors",13
1,1,3,0.7,0,1.18449171299994,"distractors",14
1,1,0.7,1.5,0,0.718147746,"distractors",15
1,1,3,0.3,0,2.93494984799997,"distractors",16
1,1,0.3,1.5,0,0.450917472000015,"distractors",17
1,1,0.7,1.5,0,1.33429715,"distractors",18
1,1,0.7,3,1,1.284966897,"distractors",19
1,1,0.3,1.5,1,0.384905359000072,"distractors",20
1,1,1.5,0.7,1,0.418521632999955,"distractors",21
1,1,1.5,0.7,1,0.434855814000002,"distractors",22
1,1,0.3,3,1,0.484508552999955,"distractors",23
1,1,0.3,0.7,0,0.567720110999971,"distractors",24
1,1,1.5,0.3,1,0.567402995999942,"distractors",25
1,1,0.7,1.5,0,1.634759895,"distractors",26
1,1,3,1.5,1,1.71810914299999,"distractors",27
1,1,3,1.5,1,0.434351183999979,"distractors",28
1,1,3,0.3,1,1.26693311700001,"distractors",29
1,1,1.5,0.3,1,1.51744894900003,"distractors",30
1,1,0.7,3,0,0.416905670999995,"distractors",31
1,1,0.7,0.3,0,1.71799846700003,"distractors",32
1,1,1.5,3,1,2.18391554999994,"distractors",33
1,1,1.5,0.3,1,0.401263399999948,"distractors",34
1,1,1.5,0.7,1,0.36797650699998,"distractors",35
1,1,1.5,3,0,0.334755997000002,"distractors",36
1,1,0.7,3,0,0.851192120000064,"distractors",37
1,1,0.7,3,1,1.03380916499998,"distractors",38
1,1,1.5,0.3,1,0.334918280000011,"distractors",39
1,1,3,0.7,1,0.367711141000086,"distractors",40
1,1,1.5,3,1,0.517885282000066,"distractors",41
1,1,0.3,1.5,0,1.03468621399998,"distractors",42
1,1,1.5,3,1,0.817515267999966,"distractors",43
1,1,3,0.7,1,0.301672668000037,"distractors",44
1,1,0.7,0.3,0,0.517368620999946,"distractors",45
1,1,0.3,1.5,1,1.28454347799993,"distractors",46
1,1,1.5,0.7,1,0.384800151000036,"distractors",47
1,1,1.5,3,0,0.384212914000045,"distractors",48
1,1,0.7,0.3,1,0.583396638999943,"distractors",49
1,1,3,0.7,1,0.36823779000008,"distractors",50
1,1,3,1.5,0,0.568056436999996,"distractors",51
1,1,0.7,0.3,0,0.783712159999936,"distractors",52
1,1,0.3,3,0,0.300773690000028,"distractors",53
1,1,3,0.3,1,0.46700935299998,"distractors",54
1,1,0.3,0.7,1,1.03459592000002,"distractors",55
1,1,1.5,0.3,1,1.30128439999999,"distractors",56
1,1,1.5,0.7,1,0.300834559000009,"distractors",57
1,1,0.3,3,0,0.334103568000046,"distractors",58
1,1,3,1.5,1,0.368122457999903,"distractors",59
1,1,0.3,0.7,1,0.801227006999966,"distractors",60
1,1,0.3,1.5,0,0.0511488870000676,"distractors",61
1,1,0.7,0.3,0,3.31813787900001,"distractors",62
1,1,1.5,0.7,1,0.40130316800014,"distractors",63
1,1,0.3,3,0,0.400773694999998,"distractors",64
1,1,3,0.3,1,0.568093864000048,"distractors",65
1,1,3,1.5,1,0.951154975999998,"distractors",66
1,1,0.7,1.5,0,0.866920615000026,"distractors",67
1,1,3,0.7,1,0.634741216000066,"distractors",68
1,1,0.7,0.3,0,0.701575077000143,"distractors",69
1,1,3,0.7,1,0.468637371000113,"distractors",70
1,1,1.5,3,1,0.483559457999945,"distractors",71
1,1,3,0.3,1,0.601584328999934,"distractors",72
1,1,0.3,3,0,0.351561661000005,"distractors",73
1,1,0.7,0.3,0,0.633624227000155,"distractors",74
1,1,3,1.5,0,0.434789167999952,"distractors",75
1,1,1.5,3,0,0.651442843000041,"distractors",76
1,1,0.3,0.7,1,0.384833744999924,"distractors",77
1,1,1.5,3,1,0.35150783999984,"distractors",78
1,1,3,0.3,1,0.384653936999939,"distractors",79
1,1,0.7,3,0,0.601205923999942,"distractors",80
1,1,1.5,0.7,1,1.6850270089999,"distractors",81
1,1,3,0.3,1,0.400229344000081,"distractors",82
1,1,3,0.7,1,0.351586265000151,"distractors",83
1,1,0.7,1.5,0,0.451359539999885,"distractors",84
1,1,0.3,3,1,1.05135282599986,"distractors",85
1,1,1.5,0.3,1,3.76818183099999,"distractors",86
1,1,1.5,3,0,1.268308273,"distractors",87
1,1,0.3,3,0,0.484250227000075,"distractors",88
1,1,0.3,3,0,0.551687786999992,"distractors",89
1,1,0.3,3,0,0.934988585000156,"distractors",90
1,1,0.7,3,0,0.418268959999978,"distractors",91
1,1,0.3,0.7,1,0.0510831560000042,"distractors",92
1,1,1.5,0.3,1,0.784819158000118,"distractors",93
1,1,3,0.3,1,0.517576527000074,"distractors",94
1,1,0.3,1.5,1,0.38457365499994,"distractors",95
1,1,0.3,0.7,1,0.718623944000001,"distractors",96
1,1,0.7,3,0,1.38408226000001,"distractors",97
1,1,0.3,1.5,1,1.18433035399994,"distractors",98
1,1,0.7,0.3,0,0.468025035999972,"distractors",99
1,1,1.5,0.7,1,0.518045248000135,"distractors",100
1,1,3,0.7,0,0.501341428999922,"distractors",101
1,1,1.5,0.3,0,0.485039367999889,"distractors",102
1,1,0.3,1.5,1,0.349289593999856,"distractors",103
1,1,3,0.3,1,0.434096230000023,"distractors",104
1,1,0.3,3,1,1.15115063899998,"distractors",105
1,1,1.5,0.7,1,0.418199882999943,"distractors",106
1,1,0.7,0.3,0,0.434474331999809,"distractors",107
1,1,3,1.5,1,0.534811921000028,"distractors",108
1,1,3,0.7,0,0.333614709999893,"distractors",109
1,1,0.7,0.3,1,1.5509312329998,"distractors",110
1,1,0.7,1.5,0,0.632275077000031,"distractors",111
1,1,0.3,0.7,1,0.400709129999996,"distractors",112
1,1,3,0.3,1,1.15134078799997,"distractors",113
1,1,1.5,3,0,0.418324463999852,"distractors",114
1,1,0.3,0.7,1,0.551499585999863,"distractors",115
1,1,3,1.5,0,0.401520217000098,"distractors",116
1,1,0.7,1.5,1,0.734553445000074,"distractors",117
1,1,1.5,0.3,1,0.38429875199995,"distractors",118
1,1,0.7,1.5,0,0.451508576000151,"distractors",119
1,1,1.5,0.3,1,0.433662276999939,"distractors",120
1,1,1.5,0.7,1,0.434318098999938,"distractors",121
1,1,1.5,0.7,1,0.76788056700002,"distractors",122
1,1,3,0.7,1,0.518028637000043,"distractors",123
1,1,1.5,3,0,0.70184078300008,"distractors",124
1,1,1.5,0.3,1,0.618106829999988,"distractors",125
1,1,0.7,0.3,1,0.718277116000081,"distractors",126
1,1,0.7,1.5,0,0.783801349999976,"distractors",127
1,1,3,0.7,1,0.418287132999922,"distractors",128
1,1,3,0.7,1,0.368253130999847,"distractors",129
1,1,3,1.5,0,0.80170686800011,"distractors",130
1,1,0.3,1.5,0,1.05115554500003,"distractors",131
1,1,0.3,1.5,1,0.734631619999845,"distractors",132
1,1,3,1.5,1,0.50143383600016,"distractors",133
1,1,0.7,0.3,0,0.385005467999918,"distractors",134
1,1,3,0.3,0,0.468329780999966,"distractors",135
1,1,1.5,3,1,0.534508178999886,"distractors",136
1,1,0.3,0.7,0,0.418272032999994,"distractors",137
1,1,0.3,1.5,1,0.518347789000018,"distractors",138
1,1,0.7,1.5,0,0.484762316000115,"distractors",139
1,1,3,1.5,1,0.484590556000057,"distractors",140
